KM;LAT;LONG;ESTACA;TEXTO FORMATO GOOGLE;link para google maps
146,77;-23,193338;-45,867562;7338,500000;-45.8675616682286,-23.1933380738286;https://www.google.com.br/maps/@-45.8675616682286,-23.1933380738286,20z
146,78;-23,193384;-45,867646;7339,000000;-45.8676462225143,-23.1933839081143;https://www.google.com.br/maps/@-45.8676462225143,-23.1933839081143,20z
146,79;-23,193432;-45,867729;7339,500000;-45.8677290592485,-23.1934319886127;https://www.google.com.br/maps/@-45.8677290592485,-23.1934319886127,20z
146,80;-23,193481;-45,867811;7340,000000;-45.867811322,-23.1934808653939;https://www.google.com.br/maps/@-45.867811322,-23.1934808653939,20z
146,81;-23,193533;-45,867892;7340,500000;-45.867892122,-23.1935327502424;https://www.google.com.br/maps/@-45.867892122,-23.1935327502424,20z
146,82;-23,193578;-45,867976;7341,000000;-45.86797604408,-23.19357841192;https://www.google.com.br/maps/@-45.86797604408,-23.19357841192,20z
146,83;-23,193614;-45,868065;7341,500000;-45.8680648494133,-23.19361433992;https://www.google.com.br/maps/@-45.8680648494133,-23.19361433992,20z
146,84;-23,193650;-45,868154;7342,000000;-45.8681536547466,-23.19365026792;https://www.google.com.br/maps/@-45.8681536547466,-23.19365026792,20z
146,85;-23,193686;-45,868242;7342,500000;-45.86824246008,-23.19368619592;https://www.google.com.br/maps/@-45.86824246008,-23.19368619592,20z
146,86;-23,193728;-45,868328;7343,000000;-45.8683284261624,-23.1937283834317;https://www.google.com.br/maps/@-45.8683284261624,-23.1937283834317,20z
146,87;-23,193774;-45,868413;7343,500000;-45.868412795166,-23.1937740919188;https://www.google.com.br/maps/@-45.868412795166,-23.1937740919188,20z
146,88;-23,193820;-45,868497;7344,000000;-45.8684971641697,-23.1938198004059;https://www.google.com.br/maps/@-45.8684971641697,-23.1938198004059,20z
146,89;-23,193866;-45,868581;7344,500000;-45.8685809284375,-23.1938662740625;https://www.google.com.br/maps/@-45.8685809284375,-23.1938662740625,20z
146,90;-23,193909;-45,868666;7345,000000;-45.868666266699,-23.1939090315534;https://www.google.com.br/maps/@-45.868666266699,-23.1939090315534,20z
146,91;-23,193952;-45,868753;7345,500000;-45.8687527282,-23.1939520664;https://www.google.com.br/maps/@-45.8687527282,-23.1939520664,20z
146,92;-23,193994;-45,868838;7346,000000;-45.86883841,-23.19399447;https://www.google.com.br/maps/@-45.86883841,-23.19399447,20z
146,93;-23,194039;-45,868923;7346,500000;-45.8689233367567,-23.194038742973;https://www.google.com.br/maps/@-45.8689233367567,-23.194038742973,20z
146,94;-23,194081;-45,869009;7347,000000;-45.8690094631884,-23.1940805053623;https://www.google.com.br/maps/@-45.8690094631884,-23.1940805053623,20z
146,95;-23,194126;-45,869095;7347,500000;-45.8690946412766,-23.1941256117021;https://www.google.com.br/maps/@-45.8690946412766,-23.1941256117021,20z
146,96;-23,194168;-45,869181;7348,000000;-45.8691805504348,-23.1941675543478;https://www.google.com.br/maps/@-45.8691805504348,-23.1941675543478,20z
146,97;-23,194209;-45,869267;7348,500000;-45.869266555,-23.1942094324138;https://www.google.com.br/maps/@-45.869266555,-23.1942094324138,20z
146,98;-23,194248;-45,869355;7349,000000;-45.86935531,-23.19424751;https://www.google.com.br/maps/@-45.86935531,-23.19424751,20z
