ID do NOX;Latitude;Longitude
Dados de teste 358;-23,442397;-46,442829
Dados de teste 359;-23,442257;-46,442105
Dados de teste 360;0;0
Dados de teste 361;0;0
Dados de teste 362;-23,526234;-46,588558
Dados de teste 363;-23,490744;-46,549725
Dados de teste 364;0;0
Dados de teste 365;0;0
Dados de teste 366;-23,246237;-45,929018
Dados de teste 367;0;0
Dados de teste 368;0;0
Dados de teste 369;0;0
Dados de teste 370;0;0
Dados de teste 371;-23,352268;-46,198807
Dados de teste 372;0;0
Dados de teste 373;0;0
Dados de teste 374;0;0
Dados de teste 375;0;0
Dados de teste 376;0;0
Dados de teste 377;0;0
Dados de teste 378;0;0
Dados de teste 379;0;0
Dados de teste 380;-23,215572;-46,894945
Dados de teste 381;-23,271679;-45,96908
Dados de teste 382;-22,517236;-44,705752
Dados de teste 383;-23,352498;-46,199471
Dados de teste 384;-22,517927;-44,707
Dados de teste 385;0;0
Dados de teste 386;-23,106633;-45,697742
Dados de teste 387;-22,494956;-44,568884
Dados de teste 388;-23,106615;-45,697737
Dados de teste 389;-22,930203;-45,36159
Dados de teste 390;-23,352542;-46,199799
Dados de teste 391;-22,4949;-44,5705
Dados de teste 392;0;0
Dados de teste 393;0;0
Dados de teste 394;0;0
Dados de teste 395;-22,487052;-44,551689
Dados de teste 396;0;0
Dados de teste 397;-23,471517;-46,517956
Dados de teste 398;0;0
Dados de teste 399;0;0
Dados de teste 400;-23,436707;-46,429931
Dados de teste 401;-23,352498;-46,181566
Dados de teste 402;-22,517817;-44,706715
Dados de teste 403;0;0
Dados de teste 404;0;0
Dados de teste 405;0;0
Dados de teste 406;-23,441443;-46,442348
Dados de teste 407;0;0
Dados de teste 408;-23,185801;-45,853901
Dados de teste 409;0;0
Dados de teste 410;-23,27105;-45,968111
Dados de teste 411;-22,486987;-44,551505
Dados de teste 412;-23,255337;-45,943112
Dados de teste 413;0;0
Dados de teste 414;0;0
Dados de teste 415;0;0
Dados de teste 416;-22,494956;-44,568884
Dados de teste 417;-23,442284;-46,442412
Dados de teste 418;0;0
Dados de teste 419;-22,494956;-44,568884
Dados de teste 420;0;0
Dados de teste 421;0;0
Dados de teste 422;0;0
Dados de teste 423;-23,246239;-45,929025
Dados de teste 424;-22,488837;-44,553468
Dados de teste 425;0;0
Dados de teste 426;-23,427995;-46,410293
Dados de teste 427;0;0
Dados de teste 428;-22,495252;-44,569632
Dados de teste 429;-23,427847;-46,409941
Dados de teste 430;-22,457389;-44,416389
Dados de teste 431;0;0
Dados de teste 432;-22,48798;-44,552341
Dados de teste 433;-23,470933;-46,517197
Dados de teste 434;-22,495362;-44,570022
Dados de teste 435;-22,495252;-44,569632
Dados de teste 436;-23,208263;-45,887147
